handle,title,vendor,product_type,status,price,compare_at_price,sku,stock,age,occasions,play,subcategories,features,collections,all_tags,image,url,seo_title,seo_description,description
1-8-scale-die-cast-mountain-bike-model,Superior 1:8 Scale Die-Cast Mountain Bike Model,The Toy Gift Shop,Cars & Vehicles,DRAFT,2200.00,,TGS-DIECAST-MOUNTAIN-BIKE,2,3-5,"birthday, eid",vehicles,Die-Cast Cars,new,"age-3-5, all, best-sellers, cars-vehicles, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:vehicles, sub:Die-Cast Cars",,,Superior 1:8 Scale Die-Cast Mountain Bike Model | Toy Gift Shop,"1:8 scale die-cast mountain bike model with red frame, black handlebars, and red tires. Includes kickstand and water bottle. For display or play.","A 1:8 scale die-cast mountain bike model from Superior's Mountainbike Bicycle Simulation Series. Metal frame in red, with working wheels, a kickstand and a little water bottle on the frame. For display or play."
3-in-1-walking-elephant-toy,3-in-1 Walking Elephant Toy with Sound and Light,The Toy Gift Shop,Animal & Dinosaur Toys,DRAFT,1200.00,,TGS-ELEPHANT-FIGURE,1,3-5,"birthday, eid",pretend,Animal Figures,new,"age-3-5, all, animal-dinosaur-toys, best-sellers, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Animal Figures",,,Elephant Figure Set in Pakistan | Toy Gift Shop,Battery-operated walking elephant toy with sound and light features. Ages 3+. Includes 3 AA batteries.,This toy elephant is battery-operated and walks on its own. It has sound and light features. It is made of hard plastic. It is designed for children ages 3 and up. The toy is part of an animal toy series.
3d-printing-pen,3D Printing Pen with USB Charger and Filament,The Toy Gift Shop,Novelty & Fun Toys,DRAFT,3800.00,,TGS-3D-PRINTING-PEN,9,3-5,"birthday, eid",games,Novelty Toys,new,"age-3-5, all, best-sellers, gifts-under-5000, new-in, novelty-fun-toys, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:games, sub:Novelty Toys",,,3D Printing Pen in Pakistan | Toy Gift Shop,"3D Printing Pen for kids aged 3+ with USB charger and filament. Child-safe, no hot parts, designed for creative 3D drawing.","A 3D printing pen that draws in the air with plastic filament. The box says it is designed with no hot parts and uses low-heat plastic, so it is safe to touch while you shape your doodles. It has a built-in 3.7V rechargeable battery and charges from any USB port. Ages 3+ on the box, with a choking hazard warning for small parts."
4drc-vita-50-jet-drone,4DRC Vita-50 Jet-Style 4-Axis Remote Control Drone,The Toy Gift Shop,RC & Remote Control Toys,DRAFT,5350.00,,TGS-VITA50-JET-DRONE,2,8+,"birthday, eid",vehicles,Drones,new,"age-8-plus, all, best-sellers, big-gifts, new-in, occasion-birthday, occasion-eid, rc-remote-control-toys","age:8+, feature:new, occasion:birthday, occasion:eid, play:vehicles, sub:Drones",,,4DRC Vita-50 Jet-Style 4-Axis Remote Control Drone | Toy Gift Shop,MRC VITA-50 4-axis RC drone with remote control. For ages 14+. Includes drone and remote. Safety warnings printed. Indoor/outdoor use.,"This is a 4-axis remote control drone styled like a fighter jet, with a blue-and-grey body and orange nose cone. It is controlled by a black handheld remote with two joysticks. The box indicates it is for ages 14 and up."
abero-enlightening-steering-wheel,abero Enlightening Steering Wheel – Baby Activity Toy,The Toy Gift Shop,Baby & Toddler Toys,DRAFT,4350.00,,TGS-ABERO-STEER-WHEEL,2,1-3,"birthday, eid",pretend,Baby Activity Toys,new,"age-1-3, all, baby-toddler-toys, best-sellers, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:1-3, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Baby Activity Toys",,,abero Enlightening Steering Wheel in Pakistan | Toy Gift Shop,"abero Enlightening Steering Wheel: lights, letters, numbers, music keys and transport sounds. For 19 to 36 months.","An abero Enlightening Steering Wheel (QX-91027) for babies: a light-up wheel in the middle, letter keys, number keys, music keys and transport sounds, with a little gear lever on the side. The box lists visual training, auditory training and hand-eye coordination, and gives the age as 19 to 36 months. It needs 3 x 1.5V AA batteries, which are not included."
aerobat-four-axis-mini-drone,Aerobat Four Axis Mini Drone with Remote Control,The Toy Gift Shop,RC & Remote Control Toys,DRAFT,6000.00,,TGS-FOUR-AXIS-DRONE,2,8+,"birthday, eid",vehicles,Drones,new,"age-8-plus, all, best-sellers, big-gifts, new-in, occasion-birthday, occasion-eid, rc-remote-control-toys","age:8+, feature:new, occasion:birthday, occasion:eid, play:vehicles, sub:Drones",,,Aerobat Four Axis Mini Drone in Pakistan | Toy Gift Shop,"Aerobat Four Axis Mini Drone with remote control for ages 14+. Features 360-degree flight, USB charging, and includes all accessories. Perfect for indoor and outdoor flying.","The Aerobat Four-Axis is a small red drone with a 2.4GHz remote. The box lists take-off and landing, 360° surround flight, omnidirectional flight, cool LED light and USB charging. Ages 14+ as printed on the box."
aike-led-digital-watch-black,Aike LED Digital Watch – Black Strap,The Toy Gift Shop,Novelty & Fun Toys,DRAFT,1650.00,,TGS-AIKE-LED-WATCH,5,3-5,"birthday, eid",games,Gadgets,new,"age-3-5, all, best-sellers, gifts-under-2500, gifts-under-5000, new-in, novelty-fun-toys, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:games, sub:Gadgets",,,Aike LED Digital Watch in Pakistan | Toy Gift Shop,"Aike LED digital watch with a square face and black ribbed strap, in a clear display case.","An Aike LED watch with a square face and a ribbed black strap, presented in a clear display case. The screen wakes at the press of the side button. A simple first watch, and it looks the part."
air-combat-fighter-jet-toy,Air Combat Fighter Jet Toy with Sound and Flashing Lights,The Toy Gift Shop,Cars & Vehicles,DRAFT,1400.00,,TGS-AIR-COMBAT-FIGHTER,1,3-5,"birthday, eid",vehicles,Die-Cast Cars,new,"age-3-5, all, best-sellers, cars-vehicles, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:vehicles, sub:Die-Cast Cars",,,Air Combat Fighter Jet Toy in Pakistan | Toy Gift Shop,"Air Combat Fighter Jet Toy with sound, flashing lights, and bump & go movement. Perfect for children aged 3 and up. Plastic construction.",This is a toy jet fighter with a blue and white color scheme. It has flashing lights on top and makes sounds when activated. The toy moves forward when pushed. It is designed for children aged 3 and up. The packaging shows it is made of plastic.
air-falcon-drone-air-racer-2-in-1-flying-car,Air Falcon Drone Air Racer 2-in-1 Flying Car,The Toy Gift Shop,RC & Remote Control Toys,DRAFT,7850.00,,TGS-AIR-FALCON-DRONE,1,8+,"birthday, eid",vehicles,Drones,new,"age-8-plus, all, best-sellers, big-gifts, new-in, occasion-birthday, occasion-eid, rc-remote-control-toys","age:8+, feature:new, occasion:birthday, occasion:eid, play:vehicles, sub:Drones",,,Air Falcon Drone Air Racer in Pakistan | Toy Gift Shop,2-in-1 flying car toy that drives and flies. Includes remote control. For ages 8+. Metal frame and durable design.,This is a 2-in-1 toy that can drive on the ground and fly in the air. It has a blue car body with a metal frame and black wheels. It comes with a white remote control. The toy is for children aged 8 and up.
aks-74u-electric-water-bomb-shooter,Aks-74U Electric Continuous Water Bomb Shooter Toy,The Toy Gift Shop,Water & Beach Toys,DRAFT,4400.00,,TGS-AKS-74U-WATER,1,3-5,"birthday, eid",outdoor,Water Play,new,"age-3-5, all, best-sellers, gifts-under-5000, new-in, occasion-birthday, occasion-eid, water-beach-toys","age:3-5, feature:new, occasion:birthday, occasion:eid, play:outdoor, sub:Water Play",,,Aks-74U Water Bomb Shooter in Pakistan | Toy Gift Shop,"Electric continuous water bomb shooter toy shaped like AKS-74U rifle. Includes water bottle, USB charger, and battery. For ages 14+.",This is an electric water bomb shooter toy shaped like an AKS-74U rifle. It shoots water using a water bottle attached to the top. It requires batteries to operate and has a recoil linkage mechanism. It is designed for water play and is intended for ages 14 and up.
