product_handle,product_title,variant,sku,barcode,price,compare_at_price,stock
1-8-scale-die-cast-mountain-bike-model,Superior 1:8 Scale Die-Cast Mountain Bike Model,Default Title,TGS-DIECAST-MOUNTAIN-BIKE,,2200.00,,2
3-in-1-walking-elephant-toy,3-in-1 Walking Elephant Toy with Sound and Light,Default Title,TGS-ELEPHANT-FIGURE,,1200.00,,1
3d-printing-pen,3D Printing Pen with USB Charger and Filament,Default Title,TGS-3D-PRINTING-PEN,,3800.00,,9
4drc-vita-50-jet-drone,4DRC Vita-50 Jet-Style 4-Axis Remote Control Drone,Default Title,TGS-VITA50-JET-DRONE,,5350.00,,2
abero-enlightening-steering-wheel,abero Enlightening Steering Wheel – Baby Activity Toy,Default Title,TGS-ABERO-STEER-WHEEL,,4350.00,,2
aerobat-four-axis-mini-drone,Aerobat Four Axis Mini Drone with Remote Control,Default Title,TGS-FOUR-AXIS-DRONE,,6000.00,,2
aike-led-digital-watch-black,Aike LED Digital Watch – Black Strap,Default Title,TGS-AIKE-LED-WATCH,,1650.00,,5
air-combat-fighter-jet-toy,Air Combat Fighter Jet Toy with Sound and Flashing Lights,Default Title,TGS-AIR-COMBAT-FIGHTER,,1400.00,,1
air-falcon-drone-air-racer-2-in-1-flying-car,Air Falcon Drone Air Racer 2-in-1 Flying Car,Default Title,TGS-AIR-FALCON-DRONE,,7850.00,,1
aks-74u-electric-water-bomb-shooter,Aks-74U Electric Continuous Water Bomb Shooter Toy,Default Title,TGS-AKS-74U-WATER,,4400.00,,1
angelo-notebook-pc-educational-toy-with-mouse,Angelo Notebook PC Educational Toy with Mouse,Default Title,TGS-NOTEBOOK-PC,,5500.00,,3
animal-piano-keyboard,Animal Piano Keyboard with Animal Sound Buttons and Recording Function,Default Title,TGS-ANIMAL-PIANO-KEYS,,7500.00,,3
baby-book-electronic-learning,Baby Book Electronic Learning Toy with Sound,Default Title,TGS-BABY-BOOK,,2250.00,,3
baby-rattle-turntable-set,Little Tin Lok Baby Rattle Turntable Set,Default Title,TGS-BABY-RATTLE-TURNTABLE,,1850.00,,9
ball-catching-claw-game,Ball Catching Claw Game with Digital Timer and Steering Wheel,Default Title,TGS-BALL-CATCHING-CLAW,,8500.00,,1
basketball-board-game-championship-trophy,Basketball Board Game – Championship Trophy Catapult,Default Title,TGS-BBALL-BOARD,,1350.00,,2
basketball-shooting-machine,Basketball Shooting Machine with Dinosaur Character,Default Title,TGS-BBALL-SHOOTING,,6250.00,,2
bead-box-jewellery-kit-teal,"Bead Box Jewellery Kit – Letters, Pearls and Beads",Default Title,TGS-BEAD-BOX-TEAL,,1050.00,,6
blast-of-flames-led-light-sword-toy,Blast Of Flames LED Light Sword Toy,Default Title,TGS-BLAST-FLAMES,,3650.00,,1
block-building-toys-in-clear-storage-jar,Block Building Toys in Clear Storage Jar with Red Lid,Default Title,TGS-BLOCK-BUILDING,,4250.00,,2
boom-strike-hammer-game,Boom Strike Hammer Game – Light-Up Tower with Score Display,Default Title,TGS-BOOM-STRIKE-HAMMER,,7350.00,,3
brilliant-talking-telephone-toy,Brilliant Talking Telephone Toy for Babies,Default Title,TGS-BRILLIANT-TALKING-PHONE,,2250.00,,2
busy-book-match-and-learn-activity-book,Busy Book – Match and Learn Activity Book,Default Title,TGS-BUSY-BOOK-MATCH,,2300.00,,2
camel-animal-figure,Bactrian Camel Figure,Default Title,TGS-CAMEL-FIGURE,,2850.00,,4
capsule-squishy-ball,Capsule Squishy Ball,Default Title,TGS-SQUISHY-CAPSULE-BALL,,1950.00,,5
cars-lightning-mcqueen-steering-wheel,Disney Cars Steering Wheel with Sounds,Default Title,TGS-CARS-STEER-WHEEL,,1450.00,,1
cartoon-animal-hand-knock-piano-series-8-tone,Cartoon Animal Hand Knock Piano Series 8-Tone Xylophone with Mallets,Default Title,TGS-CARTOON-ANIMAL-XYLO,,1050.00,,5
catan-board-game,"Catan - Trade, Build, Settle Board Game",Default Title,TGS-CATAN,,5800.00,,3
catapult-deformation-truck-car-carrier,Catapult Eformation Truck 2-in-1 Car Carrier Toy,Default Title,TGS-CATAPULT-EFORMATIO-TRUCK,,4250.00,,1
chess-checkers-magnetic-set,Chess / Checkers 2-in-1 Magnetic Travel Set with Foldable Board,Default Title,TGS-CHESS-CHECKERS,,5850.00,,2
chicks-icebreaker-adventure,Chicks Icebreaker Adventure - Break the Ice Balance Game,Default Title,TGS-CHICKS-ICEBREAKER,,1400.00,,1
childrens-camera,"Children's Camera with Unicorn Design – 1080p Photo, Video and Selfie",Default Title,TGS-S-CAMERA,,7650.00,,3
childrens-digital-camera,Children's Digital Camera – Green,Default Title,TGS-S-DIGITAL-CAMERA,,2600.00,,4
childrens-puzzle-game-card-machine,Children's Puzzle Game Card Machine,Default Title,TGS-CARD-PUZZLE,,2250.00,,1
chocolate-bar-squishy-kinder-and-snickers,Chocolate Bar Squishy Toy – Kinder Maxi or Snickers,Kinder Maxi,TGS-CHOCOLATE-BAR-SQUISHY-KINDER-MAXI,,1850.00,,4
chocolate-bar-squishy-kinder-and-snickers,Chocolate Bar Squishy Toy – Kinder Maxi or Snickers,Snickers,TGS-CHOCOLATE-BAR-SQUISHY-SNICKERS,,1850.00,,4
classic-express-remote-control-train-set,Classic Express Remote Control Train Set with Smoke System and Circular Track,Default Title,TGS-RC-CONTROL-TRAIN,,5850.00,,1
cnuno-card-game,CNUNO Family Card Game,Default Title,TGS-CNUNO,,480.00,,3
cocomelon-figure-set,"CoComelon TomTom, JJ, YoYo and Bingo Mini Figure Set",Default Title,TGS-COCOMELON-FIGS,,1750.00,,3
colorday-tea-party-artistic-painting-set,ColorDay Tea Party Artistic Painting Set with 9 Piece Mini Tea Set and 6 Colors,Default Title,TGS-TEA-PARTY-PAINT,,1850.00,,3
colorful-magnetic-blocks-forest-theme-set,Colorful Magnetic Blocks Forest Theme Set,Default Title,TGS-COLORFUL-MAG-BLOCKS,,4500.00,,2
cosplay-spider-launch-toys,Spider Launch Toys Wrist Transmitter with Suction-Cup Darts,Default Title,TGS-SPIDERWEB-LAUNCH,,840.00,,2
crackle-fluff-crispy-crunch-squishy-sticks,Crackle Fluff Crispy Crunch Squishy Sticks,Default Title,TGS-SQUISHY-PASTEL-STICKS,,1850.00,,4
crisp-choco-squishy-cream-and-chocolate,Crisp Choco Squishy Toy,Cream,TGS-SQUISHY-CRISP-CHOCO-CREAM,,1850.00,,11
crisp-choco-squishy-cream-and-chocolate,Crisp Choco Squishy Toy,Chocolate,TGS-SQUISHY-CRISP-CHOCO-CHOCOLATE,,1850.00,,7
cube-squeeze-ball-super-solid-squish-toy,Cube Squeeze Ball - Super Solid Squish Toy,Default Title,TGS-CUBE-SQUEEZE-FIDGET,,2250.00,,23
cute-cow-sing-and-dancing-toy,Cute Cow Sing and Dancing Toy,Default Title,TGS-CUTE-COW-SINGING,,2000.00,,1
cute-duck-slide-electric-track-toy,Cute Duck Slide Electric Track Toy,Default Title,TGS-CUTE-DUCK-SLIDE,,1950.00,,7
cute-intelligent-robot-remote-control,Cute Intelligent Robot Toy with Remote Control and Follow Mode,Default Title,TGS-CUTE-INTELLIGE-ROBOT,,6800.00,,2
dancing-cactus-toy-with-hat-and-scarf,"Dancing Cactus Toy with Hat, Glasses and Scarf",Default Title,TGS-DANCING-CACTUS,,1550.00,,8
deluxe-hair-styling-set,Deluxe Hair Styling Set for Girls,Default Title,TGS-DELUXE-HAIR-STYLING,,3160.00,,1
desert-eagle-model-gun,J-Shot Desert Eagle Gel Blaster,Default Title,TGS-DESERT-EAGLE-GUN,,4800.00,,2
digital-mini-train-wooden-number-train,Digital Mini Train – Wooden Number Train 0 to 9,Default Title,TGS-MINI-NUMBER-TRAIN,,2150.00,,5
dino-running-dinosaur-world-electric-series,Dino Running Dinosaur World Electric Series Toy,Default Title,TGS-DINO-RUNNING-DINO,,2750.00,,1
dinosaur-busy-board,Dinosaur Busy Board with 20+ Activities for Toddlers,Default Title,TGS-DINO-BUSY-BOARD,,4550.00,,1
diy-magnetic-levitation-train-track,DIY Magnetic Levitation Train Track with 55 Pieces for Ages 3+,Default Title,TGS-DIY-MAG-LEVITATIO,,4850.00,,1
diy-railcar-magnetic-force,"DIY Railcar Magnetic Force Track Set, 55 Pieces",Default Title,TGS-DIY-RAILCAR-FORCE,,8300.00,,3
doctor-play-set-family-doctor,Family Doctor Play Set with Carry Case,Pink,TGS-DOCTOR-PLAY-SET-PNK,,1950.00,,1
doctor-play-set-family-doctor,Family Doctor Play Set with Carry Case,Blue,TGS-DOCTOR-PLAY-SET-BLU,,1950.00,,1
domino-colored-toppling-set,Colored Domino Toppling Block Set,Default Title,TGS-DOMINO-COLORED,,850.00,,9
double-six-color-dot-dominoes,"Double Six Color Dot Dominoes, 28 Tiles",Default Title,TGS-DOMINOES-COLOR-DOT,,2150.00,,1
drawing-robot-jqr-02,Drawing Robot JQR-02 for Children's Painting Enlightenment Teaching,Default Title,TGS-DRAWING-ROBOT-JQR,,15600.00,,1
e99-pro-max-remote-control-drone,E99 Pro Max Remote Control Drone with Controller,Default Title,TGS-E99-PRO-MAX,,8500.00,,1
early-education-kids-drawing-tablet,Card Early Education Device with Rechargeable Battery and Puzzle Cards,Default Title,TGS-TABLET-DRAWING,,1650.00,,1
educational-keyboard-tablet,Educational Keyboard Toy with LED Screen and Alphabet Keys,Default Title,TGS-EDU-KEYS,,3250.00,,2
electric-cartoon-dinosaur-toy,Electric Cartoon Dinosaur Toy with Sound and Movement,Default Title,TGS-ELEC-CARTOON-DINO,,2400.00,,1
electric-drill-tool-set,Electric Drill Toy with Accessories in Carry Case,Default Title,TGS-ELECTRIC-DRILL-SET,,3650.00,,2
engineering-truck-adventure-track,Engineering Truck Adventure – 7 Checkpoint Track Set,Default Title,TGS-TRUCK-ADVENTURE,,3650.00,,7
follow-me-gesture-car,Magic Induction Follow Me Gesture Car – Pink & Green,Pink,TGS-FOLLOW-ME-CAR-PNK,,5850.00,,1
follow-me-gesture-car,Magic Induction Follow Me Gesture Car – Pink & Green,Green,TGS-FOLLOW-ME-CAR-GRN,,5850.00,,1
follow-me-gesture-car,Magic Induction Follow Me Gesture Car – Pink & Green,Yellow,TGS-FOLLOW-ME-CAR-YLW,,5850.00,,1
four-in-one-insect-catching-game,Four in One Insect Catching Game – Magnetic Wooden Board,Default Title,TGS-FOUR-INSECT-CATCHING,,2150.00,,4
frenzy-racing-rc-car,Frenzy Racing 1:20 Scale Remote Control Car with 27MHz Transmitter,Default Title,TGS-FRENZY-RACING-CAR,,1750.00,,7
frozen-beautiful-girls-makeup-set,Frozen Beautiful Girl's Series Make-Up Set,Default Title,TGS-FROZEN-MAKEUP,,850.00,,4
frozen-ii-beauty-makeup-set,Frozen II My Beauty World Make-Up Set,Default Title,TGS-FROZEN-II-MAKEUP,,750.00,,4
gear-dinosaur-toy,Gear Dinosaur Toy with Musical and Light Effects,Default Title,TGS-GEAR-DINO,,2000.00,,1
givelong-cute-fan-visor-hat,Givelong Cute Fan Visor Hat with Lion Design,Default Title,TGS-FAN-VISOR-HAT,,2550.00,,5
glitter-squishy-dumpling,Glitter Squishy Dumpling in a Steamer Case,Default Title,TGS-SQUISHY-BUN-STEAMER,,1350.00,,23
grass-frog-light-sound-toy,Grass Frog Light/Sound Toy with Mechanical Drive,Default Title,TGS-GRASS-FROG,,1750.00,,1
green-truck-remote-control-toy,Green Truck Toy with Remote Control and Sound,Default Title,TGS-GREEN-TRUCK,,5100.00,,1
heart-bead-box-jewellery-kit,Heart Bead Box – Jewellery Making Kit,Default Title,TGS-HEART-BEAD-BOX,,1050.00,,7
hedgehog-piano-baby-toy,Hedgehog Piano Baby Toy with Keys and Buttons,Default Title,TGS-PIANO-HEDGEHOG,,1850.00,,1
household-set-mini-appliance-toy,Household Set Mini Appliance Toy,Vacuum Cleaner,TGS-HOUSEHOLD-SET-MINI-VACUUM-CLEANER,,1450.00,,3
household-set-mini-appliance-toy,Household Set Mini Appliance Toy,Washing Machine,TGS-HOUSEHOLD-SET-MINI-WASHING-MACHINE,,1450.00,,3
huanger-folding-bucket-bath-toys,HUANGER Folding Bucket Bath Toy Set with Accessories,Default Title,TGS-FOLD-BUCKET-BATH,,1650.00,,5
huanger-puzzle-phone-dinosaur,Huanger Puzzle Phone – Dinosaur Baby Phone,Default Title,TGS-HUANGER-PUZZLE-PHONE,,1250.00,,6
hug-happy-touch-and-teach-words-book,Hug Happy Touch and Teach Words Book Early Education Baby Toy,Default Title,TGS-TOUCH-TEACH-WORDS,,5850.00,,1
