sent,units,price_pkr,keep,stock_to_enter,photo,image_files,product_folder,sku
(screenshot 2026-09-21) 12:47 AM,5,2150,yes,4,"Sticky ball dart board (green, hook-and-loop balls)",IMG_20260920_004346.jpg IMG_20260920_004322.jpg IMG_20260920_004354.jpg IMG_20260920_004428.jpg,STICKY-BALL-DART-BOARD-72CM,TGS-STICKY-DART-BOARD
(screenshot 2026-09-21) 12:51 AM,6,2150,yes,5,"Digital Mini Train, wooden number train 0-9",IMG_20260920_004919.jpg IMG_20260920_005032.jpg IMG_20260920_004925.jpg IMG_20260920_004935.jpg,DIGITAL-MINI-TRAIN-WOODEN-NUMBER-TRAIN,TGS-MINI-NUMBER-TRAIN
(screenshot 2026-09-21) 12:56 AM,4,1250,yes,3,"LED bulb lamp with colour markers, draw-your-own",IMG_20260920_005323.jpg IMG_20260920_005342.jpg IMG_20260920_005514.jpg IMG_20260920_005528.jpg,LEDING-THE-LIFE-DIY-ACRYLIC-MESSAGE-LAMP,TGS-ACRYLIC-LED-LAMP
(screenshot 2026-09-21) 1:07 AM,3,2300,yes,2,Busy Book with Match Planet board,IMG_20260920_010003.jpg IMG_20260920_005902.jpg IMG_20260920_005911.jpg IMG_20260920_005924.jpg,BUSY-BOOK-MATCH-AND-LEARN-ACTIVITY-BOOK,TGS-BUSY-BOOK-MATCH
(screenshot 2026-09-21) 9:46 PM,8,1850,yes,7,"Steering Wheel simulation driving toy, teal and pink",IMG_20260920_214418.jpg IMG_20260920_214452.jpg IMG_20260920_214531.jpg IMG_20260920_214342.jpg,STEERING-WHEEL-SIMULATED-DRIVING-TOY,TGS-STEERING-WHEEL-SIM
(screenshot 2026-09-21) 9:47 PM,10,2150,yes,9,"Flash Drum, pink, with sticks",IMG_20260920_214029.jpg IMG_20260920_214112.jpg IMG_20260920_213903.jpg IMG_20260920_213914.jpg,PENG-JIA-MULTICOLOURED-FLASH-DRUM,TGS-FLASH-DRUM
(screenshot 2026-09-21) 9:54 PM,3,4350,yes,2,"Baby activity steering wheel, blue",IMG_20260920_214844.jpg IMG_20260920_215309.jpg IMG_20260920_215348.jpg IMG_20260920_214933.jpg,ABERO-ENLIGHTENING-STEERING-WHEEL,TGS-ABERO-STEER-WHEEL
(screenshot 2026-09-21) 10:03 PM,9,1850,yes,8,"Smart Remote baby toy with keys, 18m+",IMG_20260920_215530.jpg IMG_20260920_220055.jpg IMG_20260920_215841.jpg IMG_20260920_220009.jpg,SMART-REMOTE-BABY-KEY-FOB-TOY,TGS-SMART-REMOTE-KEYS
(screenshot 2026-09-21) 10:12 PM,7,1250,yes,6,"Huanger Puzzle Phone, dinosaur, 18m+",IMG_20260920_220553.jpg IMG_20260920_220629.jpg IMG_20260920_220331.jpg IMG_20260920_221016.jpg,HUANGER-PUZZLE-PHONE-DINOSAUR,TGS-HUANGER-PUZZLE-PHONE
(screenshot 2026-09-21) 10:27 PM,8,3650,yes,7,Engineering Truck Adventure play set,IMG_20260920_221434.jpg IMG_20260920_222301.jpg IMG_20260920_222220.jpg IMG_20260920_221446.jpg IMG_20260920_221459.jpg,ENGINEERING-TRUCK-ADVENTURE-TRACK,TGS-TRUCK-ADVENTURE
(screenshot 2026-09-21) 10:28 PM,4,1850,yes,3,Toy Story friction car with Woody,IMG_20260920_221341.jpg IMG_20260920_221314.jpg IMG_20260920_221324.jpg IMG_20260920_221401.jpg,TOY-STORY-FRICTION-CAR-WOODY,TGS-TOY-STORY-FRICTION
(screenshot 2026-09-21) 10:43 PM,9,1550,yes,8,Dancing Cactus with hat and scarf,IMG_20260920_224019.jpg IMG_20260920_224032.jpg IMG_20260920_223704.jpg IMG_20260920_223500.jpg,DANCING-CACTUS-TOY-WITH-HAT-AND-SCARF,TGS-DANCING-CACTUS
(screenshot 2026-09-21) 10:45 PM,2,2950,no (backlog),,Two-headed dragon figure,IMG_20260920_224417.jpg IMG_20260920_224403.jpg IMG_20260920_224355.jpg IMG_20260920_224410.jpg,TWO-HEADED-DRAGON-FIGURE,TGS-TWO-HEAD-DRAGON
(screenshot 2026-09-21) 10:46 PM,4,2850,yes,3,"Ram figure, yellow with curled horns",IMG_20260920_224549.jpg IMG_20260920_224541.jpg IMG_20260920_224556.jpg IMG_20260920_224604.jpg,RAM-ANIMAL-FIGURE,TGS-RAM-FIGURE
(screenshot 2026-09-21) 10:48 PM,5,2850,yes,4,Camel figures,IMG_20260920_224720.jpg IMG_20260920_224736.jpg IMG_20260920_224727.jpg IMG_20260920_224808.jpg,CAMEL-ANIMAL-FIGURE,TGS-CAMEL-FIGURE
(screenshot 2026-09-21) 10:51 PM,4,2850,yes,3,Lamb figure,IMG_20260920_225047.jpg IMG_20260920_225035.jpg IMG_20260920_225028.jpg IMG_20260920_225041.jpg,SHEEP-ANIMAL-FIGURE,TGS-SHEEP-FIGURE
(screenshot 2026-09-21) 12:07 AM,6,1650,yes,5,"Smart watch, black strap",IMG_20260920_234817.jpg IMG_20260920_234809.jpg IMG_20260920_234738.jpg IMG_20260920_234954.jpg,AIKE-LED-DIGITAL-WATCH-BLACK,TGS-AIKE-LED-WATCH
(screenshot 2026-09-21) 12:09 AM,6,1550,yes,5,"Digital LCD watch, retro",IMG_20260920_234156.jpg IMG_20260920_234409.jpg IMG_20260920_234259.jpg IMG_20260920_234133.jpg IMG_20260920_234455.jpg,LASIKA-W-F181-DIGITAL-WATCH,TGS-LASIKA-DIGITAL-WATCH
(screenshot 2026-09-21) 12:10 AM,8,1050,yes,7,"Heart-shaped bead box, pink",IMG_20260920_233441.jpg IMG_20260920_233617.jpg IMG_20260920_233730.jpg,HEART-BEAD-BOX-JEWELLERY-KIT,TGS-HEART-BEAD-BOX
(screenshot 2026-09-21) 12:10 AM,7,1050,yes,6,"Bead box, teal, four compartments",IMG_20260920_233325.jpg IMG_20260920_233224.jpg IMG_20260920_233049.jpg IMG_20260920_233003.jpg,BEAD-BOX-JEWELLERY-KIT-TEAL,TGS-BEAD-BOX-TEAL
(screenshot 2026-09-21) 12:11 AM,2,1450,no (backlog),,Cars Lightning McQueen steering wheel,IMG_20260920_232318.jpg IMG_20260920_232325.jpg IMG_20260920_232417.jpg IMG_20260920_232438.jpg,CARS-LIGHTNING-MCQUEEN-STEERING-WHEEL,TGS-CARS-STEER-WHEEL
