processed_at,sku,provider,status,fal_images_new,fal_images_reused,est_cost_usd,output_dir,error
2026-09-15T16:19:01,TGS-ANIMALTOY-CUTECOW-DANCING,fal,failed,0,0,0.03,input/TGS-ANIMALTOY-CUTECOW-DANCING/output,CatalogHero generated (billed) but download failed: urllib SSL CA store missing; fixed by switching download to httpx
2026-09-15T16:19:05,TGS-CAR-SEDAN-BLACK-BMW,fal,interrupted,0,0,,input/TGS-CAR-SEDAN-BLACK-BMW/output,run stopped seconds after start while fixing the SSL issue; at most 1 image may have been billed
2026-09-15T16:23:12,TGS-ANIMALTOY-CUTECOW-DANCING,fal,ok,5,0,0.15,input/TGS-ANIMALTOY-CUTECOW-DANCING/output,
2026-09-15T16:25:37,TGS-CAR-SEDAN-BLACK-BMW,fal,ok,5,0,0.15,input/TGS-CAR-SEDAN-BLACK-BMW/output,
2026-09-15T16:30:06,TGS-CASE-BRIEFCASE-UNICORN-RAINBOW-PINK,fal,ok,5,0,0.15,input/TGS-CASE-BRIEFCASE-UNICORN-RAINBOW-PINK/output,
2026-09-15T16:32:16,TGS-BUSYBOARD-DINOSAUR-TEAL,fal,ok,5,0,0.15,input/TGS-BUSYBOARD-DINOSAUR-TEAL/output,
2026-09-15T16:34:09,TGS-ROBOT-SPIDER-WALLCLIMBER,fal,ok,5,0,0.15,input/TGS-ROBOT-SPIDER-WALLCLIMBER/output,
2026-09-15T17:01:19,TGS-ANIMALTOY-CUTECOW-DANCING,fal,ok,1,3,0.03,input/TGS-ANIMALTOY-CUTECOW-DANCING/output,
2026-09-15T17:02:21,TGS-CAR-SEDAN-BLACK-BMW,fal,ok,1,3,0.03,input/TGS-CAR-SEDAN-BLACK-BMW/output,
2026-09-15T17:03:39,TGS-CASE-BRIEFCASE-UNICORN-RAINBOW-PINK,fal,ok,1,3,0.03,input/TGS-CASE-BRIEFCASE-UNICORN-RAINBOW-PINK/output,
2026-09-15T17:04:25,TGS-BUSYBOARD-DINOSAUR-TEAL,fal,ok,1,3,0.03,input/TGS-BUSYBOARD-DINOSAUR-TEAL/output,
2026-09-15T17:05:10,TGS-ROBOT-SPIDER-WALLCLIMBER,fal,ok,1,3,0.03,input/TGS-ROBOT-SPIDER-WALLCLIMBER/output,
2026-09-15T17:23:08,TGS-ROBOT-SPIDER-WALLCLIMBER,fal:qwen-image-edit-2511,test-ok,2,0,0.060,gallery_out/model_test/TGS-ROBOT-SPIDER-WALLCLIMBER/qwen-image-edit-2511,
2026-09-15T17:23:29,TGS-CAR-SEDAN-BLACK-BMW,fal:qwen-image-edit-2511,test-ok,2,0,0.060,gallery_out/model_test/TGS-CAR-SEDAN-BLACK-BMW/qwen-image-edit-2511,
2026-09-15T17:23:33,TGS-ROBOT-SPIDER-WALLCLIMBER,fal:muse-image,test-ok,2,0,0.020,gallery_out/model_test/TGS-ROBOT-SPIDER-WALLCLIMBER/muse-image,
2026-09-15T17:23:40,TGS-ROBOT-SPIDER-WALLCLIMBER,fal:gpt-image-2.5-sunburst-medium,test-ok,2,0,0.103,gallery_out/model_test/TGS-ROBOT-SPIDER-WALLCLIMBER/gpt-image-2.5-sunburst-medium,
2026-09-15T17:23:51,TGS-CASE-BRIEFCASE-UNICORN-RAINBOW-PINK,fal:qwen-image-edit-2511,test-ok,2,0,0.060,gallery_out/model_test/TGS-CASE-BRIEFCASE-UNICORN-RAINBOW-PINK/qwen-image-edit-2511,
2026-09-15T17:24:12,TGS-CAR-SEDAN-BLACK-BMW,fal:muse-image,test-ok,2,0,0.020,gallery_out/model_test/TGS-CAR-SEDAN-BLACK-BMW/muse-image,
2026-09-15T17:24:37,TGS-CAR-SEDAN-BLACK-BMW,fal:gpt-image-2.5-sunburst-medium,test-ok,2,0,0.103,gallery_out/model_test/TGS-CAR-SEDAN-BLACK-BMW/gpt-image-2.5-sunburst-medium,
2026-09-15T17:25:11,TGS-CASE-BRIEFCASE-UNICORN-RAINBOW-PINK,fal:muse-image,test-ok,2,0,0.020,gallery_out/model_test/TGS-CASE-BRIEFCASE-UNICORN-RAINBOW-PINK/muse-image,
2026-09-15T17:25:37,TGS-CASE-BRIEFCASE-UNICORN-RAINBOW-PINK,fal:gpt-image-2.5-sunburst-medium,test-ok,2,0,0.103,gallery_out/model_test/TGS-CASE-BRIEFCASE-UNICORN-RAINBOW-PINK/gpt-image-2.5-sunburst-medium,
2026-09-15T17:47:21,TGS-CASE-BRIEFCASE-UNICORN-RAINBOW-PINK,fal:gpt-image-2.5-sunburst-medium,ok,5,0,0.258,input/TGS-CASE-BRIEFCASE-UNICORN-RAINBOW-PINK/output,
2026-09-15T17:49:52,TGS-ROBOT-SPIDER-WALLCLIMBER,fal:gpt-image-2.5-sunburst-medium,ok,4,0,0.206,input/TGS-ROBOT-SPIDER-WALLCLIMBER/output,
