folder,new_folder,sku,new_sku,brand,note,box_title
TGS-3D-PRINTING-PEN,3D-PRINTING-PEN,TGS-3D-PRINTING-PEN,,,,3D Printing Pen with USB Charger and Filament
TGS-7-DIECAST-CAR,BMW-7-SERIES-DIECAST-MODEL-CAR,TGS-7-DIECAST-CAR,,,,BMW 7 Series Diecast Model Car
TGS-AIR-COMBAT-FIGHTER,AIR-COMBAT-FIGHTER-JET-TOY,TGS-AIR-COMBAT-FIGHTER,,,,Air Combat Fighter Jet Toy with Sound and Flashing Lights
TGS-AIR-FALCON-DRONE,AIR-FALCON-DRONE-AIR-RACER-2-IN-1-FLYING-CAR,TGS-AIR-FALCON-DRONE,,,,Air Falcon Drone Air Racer 2-in-1 Flying Car
TGS-AKS-74U-WATER,AKS-74U-ELECTRIC-WATER-BOMB-SHOOTER,TGS-AKS-74U-WATER,,,trimmed,Aks-74U Electric Continuous Water Bomb Shooter Toy
TGS-AL-QURAN-LEARNING,OZCH-STAR-ISLAMIC-LEARNING-TABLET,TGS-AL-QURAN-LEARNING,,Ozch Star,,Ozch Star Islamic Learning Tablet for Children
TGS-ANIMAL-PIANO-KEYS,ANIMAL-PIANO-KEYBOARD,TGS-ANIMAL-PIANO-KEYS,,,,Animal Piano Keyboard with Animal Sound Buttons and Recording Function
TGS-ANIMAL-SHAPED-PHONE,ANIMAL-SHAPED-EDUCATIONAL-TOY-PHONE,TGS-ANIMAL-SHAPED-PHONE,,,,Animal Shaped Educational Toy Phone for Ages 3+
TGS-APPLIANCE-FRIDGE,MINI-APPLIANCES-TOY-REFRIGERATOR,TGS-APPLIANCE-FRIDGE,,,,Mini Appliances Toy Refrigerator with Play & Learn Simulation
TGS-AQUAFLOW-SWIM-CAP,INTEX-AQUAFLOW-SWIM-CAP,TGS-AQUAFLOW-SWIM-CAP,,Intex,,Intex AquaFlow Swim Cap for Ages 8+
TGS-ARABIC-SOUND-LEARNING,OZEN-STAR-ARABIC-SOUND-LEARNING-BOOK,TGS-ARABIC-SOUND-LEARNING,,Ozen Star,,Ozen Star Arabic Sound Learning Book for Children
TGS-AVENGERS-MAG-DRAWING,AVENGERS-AGE-OF-ULTRON-MAGNETIC-DRAWING-BOARD,TGS-AVENGERS-MAG-DRAWING,,,,Avengers Age of Ultron Magnetic Drawing Board with 180 Ball Pops
TGS-BABY-ACTIVITY,LION-KING-BABY-ACTIVITY-TOY,TGS-BABY-ACTIVITY,,,,Lion King Baby Activity Toy with Interactive Buttons and Gear
TGS-BABY-GAMES-CONSOLE,HUANGER-BABY-GAMES-CONSOLE,TGS-BABY-GAMES-CONSOLE,,,Huanger logo on the box,Baby Games Console Activity Toy with Buttons and Lights
TGS-BABY-RATTLE-TURNTABLE,BABY-RATTLE-TURNTABLE-SET,TGS-BABY-RATTLE-TURNTABLE,,,,Baby Rattle Turntable Set with 12 Stuffed Animal Rattles
TGS-BALL-CATCHING-CLAW,BALL-CATCHING-CLAW-GAME,TGS-BALL-CATCHING-CLAW,,,,Ball Catching Claw Game with Digital Timer and Steering Wheel
TGS-BASEBALL-SPORT,BASEBALL-SPORT-GAME-SET,TGS-BASEBALL-SPORT,,,,Baseball Sport Game Set with Bat and Balls
TGS-BBALL-BOARD,BASKETBALL-BOARD-GAME-CHAMPIONSHIP-TROPHY,TGS-BBALL-BOARD,,,,Basketball Board Game: Championship Trophy Contest
TGS-BBALL-SHOOTING,BASKETBALL-SHOOTING-MACHINE,TGS-BBALL-SHOOTING,,,,Basketball Shooting Machine with Dinosaur Character
TGS-BEAR-INFLATABL-CHAIR,INTEX-BEAR-INFLATABLE-CHAIR,TGS-BEAR-INFLATABL-CHAIR,,Intex,,"Intex Bear Inflatable Chair for Kids, Wet Set Collection, Age 3-8 Years"
TGS-BEAUTY-GIRL-MAKEUP,KPOP-DEMON-HUNTERS-BEAUTY-GIRL-MAKEUP-CASE,TGS-BEAUTY-GIRL-MAKEUP,,,was cut off,KPOP DEMON HUNTERS BEAUTY GIRL DISCOVERING ART MAKEUP CASE
TGS-BINOCULAR,OUBIAO-10X38-TOY-BINOCULARS-WITH-CASE,TGS-BINOCULAR,,OUBIAO,,OUBIAO 10x38 Toy Binoculars with Case
TGS-BLAST-FLAMES,BLAST-OF-FLAMES-LED-LIGHT-SWORD-TOY,TGS-BLAST-FLAMES,,,,Blast Of Flames LED Light Sword Toy
TGS-BLOCK-BUILDING,BLOCK-BUILDING-TOYS-IN-CLEAR-STORAGE-JAR,TGS-BLOCK-BUILDING,,,,Block Building Toys in Clear Storage Jar with Red Lid
TGS-BLUE-TILE,NOTEBOOK-AND-PEN-GIFT-SET,TGS-BLUE-TILE,,,not a tile or a toy: a blue notebook with a pen in a gift box,Blue Tile Educational Toy Set
TGS-BOOM-STRIKE-HAMMER,BOOM-STRIKE-HAMMER-GAME,TGS-BOOM-STRIKE-HAMMER,,,,Boom Strike Hammer Game with 2 Hammers and Digital Score Display
TGS-BOTTLE-PAIRING,BOTTLE-PAIRING-COLOR-MATCHING-GAME,TGS-BOTTLE-PAIRING,,,was cut off,Bottle Pairing Game: Desktop Interactive Color Matching Game for Ages 3+
TGS-BOTTLE-SQUISHY,PRIME-BOTTLE-SQUISHY-500ML-BLUE-AND-PINK,TGS-BOTTLE-SQUISHY,,Prime,,Prime Bottle Squishy - 500ML Blue & Pink
TGS-BREAK-THROUGH-CAR,BREAK-THROUGH-GAME-CAR,TGS-BREAK-THROUGH-CAR,,,,Break Through Game Car with Two Modes
TGS-BRILLIANT-TALKING-PHONE,BRILLIANT-TALKING-TELEPHONE-TOY,TGS-BRILLIANT-TALKING-PHONE,,,,Brilliant Talking Telephone Toy for Babies
TGS-BUBBLE-GUN,LABUBU-BUBBLE-GUN,TGS-BUBBLE-GUN,,,,Labubu Bubble Gun with 2 Water Bottles
TGS-CARD-PUZZLE,CHILDRENS-PUZZLE-GAME-CARD-MACHINE,TGS-CARD-PUZZLE,,,,Children's Puzzle Game Card Machine
TGS-CARS-RC-RADIO,CARS-DINOCO-RC-RADIO-CONTROL-CAR,TGS-CARS-RC-RADIO,,,box shows the Dinoco car,Cars Rc Radio Control Car with Remote Control
TGS-CARTOON-ANIMAL-XYLO,CARTOON-ANIMAL-HAND-KNOCK-PIANO-SERIES-8-TONE,TGS-CARTOON-ANIMAL-XYLO,,,,Cartoon Animal Hand Knock Piano Series 8-Tone Xylophone with Mallets
TGS-CATAPULT-EFORMATIO-TRUCK,CATAPULT-DEFORMATION-TRUCK-CAR-CARRIER,TGS-CATAPULT-EFORMATIO-TRUCK,,,'Eformation' was a misreading of Deformation,Catapult Eformation Truck 2-in-1 Car Carrier Toy
TGS-CHOCOLATE-BAR-SQUISHY,CHOCOLATE-BAR-SQUISHY-KINDER-AND-SNICKERS,TGS-CHOCOLATE-BAR-SQUISHY,,,was cut off,Chocolate Bar Squishy Toy - Kinder Maxi & Snickers Flavors
TGS-CIRCULAR-SAW,TOY-CIRCULAR-SAW-CUTTING-EDGE-TOOL,TGS-CIRCULAR-SAW,,,'simulation modeling' is not part of the name,Simulation Modeling Circular Saw Cutting Edge Tool
TGS-COCA-COLA-MONSTERS,COCA-COLA-MONSTERS-VINYL-FACE-BLIND-BOX,TGS-COCA-COLA-MONSTERS,,,,Coca-Cola Monsters Vinyl Face Blind Box
TGS-COLORFUL-MAG-BLOCKS,COLORFUL-MAGNETIC-BLOCKS-FOREST-THEME-SET,TGS-COLORFUL-MAG-BLOCKS,,,,Colorful Magnetic Blocks Forest Theme Set
TGS-CONTAINER-TRUCK,RED-AND-GRAY-CONTAINER-TRUCK-TOY,TGS-CONTAINER-TRUCK,,,,Red and Gray Container Truck Toy
