Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Barcode,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
tgs-baby-book,Baby Book Electronic Learning Toy with Sound,"<p>An electronic learning book with a carry handle and sound buttons. Pages cover numbers, letters, animals and more with interactive audio. For ages 3 and up.</p><ul><li>Electronic book with sound buttons</li><li>Carry handle for portability</li><li>Covers numbers, letters and animals</li><li>Interactive audio learning</li><li>For ages 3 and up</li></ul><p><strong>What's included:</strong></p><ul><li>1 electronic baby book</li></ul>",The Toy Gift Shop,,Educational Toys,"age:3-5, feature:new, occasion:birthday, occasion:eid, play:build, sub:Learning Toys",FALSE,Title,Default Title,TGS-BABY-BOOK,,shopify,3,deny,manual,2250.00,,TRUE,TRUE,output_pending/TGS-BABY-BOOK/angle2.jpg,1,Baby Book Electronic Learning Toy with Sound,FALSE,Baby Book Electronic Learning Toy in Pakistan | Toy Gift Shop,Baby Book electronic learning toy with sound buttons and carry handle. Ages 3+.,draft
tgs-baby-book,,,,,,,,,,,,,,,,,,,,output_pending/TGS-BABY-BOOK/angle3.jpg,2,Baby Book Electronic Learning Toy with Sound,,,,
tgs-baby-book,,,,,,,,,,,,,,,,,,,,output_pending/TGS-BABY-BOOK/angle4.jpg,3,Baby Book Electronic Learning Toy with Sound,,,,
tgs-bball-shooting,Basketball Shooting Machine with Dinosaur Character,<p>This toy basketball shooting machine features a green dinosaur character on top. It has a small basketball hoop and a digital display. The machine is operated by pressing a button to launch a basketball. It is designed for children aged 3 and up.</p><ul><li>Plastic construction with a dinosaur character</li><li>Small size suitable for children&#x27;s play</li><li>Includes basketball and launcher mechanism</li><li>Contains multiple basketballs and a black plastic tray</li><li>Intended for children aged 3 and older</li></ul><p><strong>What's included:</strong></p><ul><li>Basketball shooting machine</li><li>Basketball</li><li>Launcher button</li><li>Digital display</li><li>Multiple basketballs</li><li>Black plastic tray</li></ul>,The Toy Gift Shop,,Robots & Electronic Toys,"age:5-8, feature:new, occasion:birthday, occasion:eid, play:games, sub:Arcade Games",FALSE,Title,Default Title,TGS-BBALL-SHOOTING,,shopify,2,deny,manual,6250.00,,TRUE,TRUE,output_pending/TGS-BBALL-SHOOTING/angle2.jpg,1,Basketball Shooting Machine with Dinosaur Character,FALSE,Basketball Shooting Machine in Pakistan | Toy Gift Shop,A basketball shooting machine toy with a dinosaur character for children aged 3+. Includes basketballs and a launcher mechanism for fun play.,draft
tgs-bball-shooting,,,,,,,,,,,,,,,,,,,,output_pending/TGS-BBALL-SHOOTING/angle3.jpg,2,Basketball Shooting Machine with Dinosaur Character,,,,
tgs-bball-shooting,,,,,,,,,,,,,,,,,,,,output_pending/TGS-BBALL-SHOOTING/angle4.jpg,3,Basketball Shooting Machine with Dinosaur Character,,,,
tgs-catan,"Catan - Trade, Build, Settle Board Game","<p>Catan, the classic strategy board game of trading, building and settling the island of Catan. Collect resources, trade with opponents, and build roads and settlements to win. For ages 10 and up.</p><ul><li>Classic resource-trading strategy game</li><li>Build roads and settlements</li><li>For 3 to 4 players (extendable)</li><li>For ages 10 and up</li></ul><p><strong>What's included:</strong></p><ul><li>Game board hexagon tiles</li><li>Resource cards</li><li>Development cards</li><li>Roads and settlement pieces</li><li>Instructions</li></ul>",The Toy Gift Shop,,Board Games,"age:5-8, feature:new, occasion:birthday, occasion:eid, play:games, sub:Family Board Games",FALSE,Title,Default Title,TGS-CATAN,,shopify,3,deny,manual,5800.00,,TRUE,TRUE,output_pending/TGS-CATAN/angle2.jpg,1,"Catan - Trade, Build, Settle Board Game",FALSE,Catan Board Game in Pakistan | Toy Gift Shop,"Catan -- trade, build, settle. The classic strategy board game. Ages 10+.",draft
tgs-catan,,,,,,,,,,,,,,,,,,,,output_pending/TGS-CATAN/angle3.jpg,2,"Catan - Trade, Build, Settle Board Game",,,,
tgs-catan,,,,,,,,,,,,,,,,,,,,output_pending/TGS-CATAN/front.jpg,3,"Catan - Trade, Build, Settle Board Game",,,,
tgs-chess-checkers,Chess / Checkers 2-in-1 Magnetic Travel Set with Foldable Board,"<p>A 2-in-1 magnetic chess and checkers set with a foldable travel board. Includes black and white chess pieces and black and white checkers pieces, all magnetic for travel play.</p><ul><li>2-in-1 chess and checkers set</li><li>Magnetic pieces for travel play</li><li>Foldable board</li><li>Black and white piece sets included</li></ul><p><strong>What's included:</strong></p><ul><li>1 foldable magnetic board</li><li>Chess pieces (black and white)</li><li>Checkers pieces (black and white)</li></ul>",The Toy Gift Shop,,Board Games,"age:5-8, feature:new, occasion:birthday, occasion:eid, play:games, sub:Family Board Games",FALSE,Title,Default Title,TGS-CHESS-CHECKERS,,shopify,2,deny,manual,5850.00,,TRUE,TRUE,output_pending/TGS-CHESS-CHECKERS/angle2.jpg,1,Chess / Checkers 2-in-1 Magnetic Travel Set with Foldable Board,FALSE,Chess Checkers 2-in-1 Magnetic Set in Pakistan | Toy Gift Shop,Chess / Checkers 2-in-1 magnetic travel set with a foldable board.,draft
