Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Barcode,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
1-8-scale-die-cast-mountain-bike-model,Superior 1:8 Scale Die-Cast Mountain Bike Model,"<p>A 1:8 scale die-cast mountain bike model from Superior&#x27;s Mountainbike Bicycle Simulation Series. Metal frame in red, with working wheels, a kickstand and a little water bottle on the frame. For display or play.</p><ul><li>Die-cast metal, 1:8 scale</li><li>Superior Mountainbike Simulation Series</li><li>Kickstand and water bottle</li><li>Red frame with black handlebars</li><li>For display or play</li></ul><p><strong>What's included:</strong></p><ul><li>1:8 scale die-cast mountain bike model</li><li>Kickstand</li><li>Water bottle</li></ul>",The Toy Gift Shop,,Cars & Vehicles,"age:3-5, feature:new, occasion:birthday, occasion:eid, play:vehicles, sub:Die-Cast Cars",FALSE,Title,Default Title,TGS-DIECAST-MOUNTAIN-BIKE,,shopify,2,deny,manual,2200.00,,TRUE,TRUE,output/TGS-DIECAST-MOUNTAIN-BIKE/CatalogClean.png,1,"1:8 scale die-cast mountain bike model with red frame, black handlebars, and red tires, displayed on a white surface.",FALSE,Superior 1:8 Scale Die-Cast Mountain Bike Model | Toy Gift Shop,"1:8 scale die-cast mountain bike model with red frame, black handlebars, and red tires. Includes kickstand and water bottle. For display or play.",draft
1-8-scale-die-cast-mountain-bike-model,,,,,,,,,,,,,,,,,,,,output/TGS-DIECAST-MOUNTAIN-BIKE/CatalogHero_wm.png,2,"1:8 scale die-cast mountain bike model with red frame, black handlebars, and red tires, displayed on a white surface.",,,,
1-8-scale-die-cast-mountain-bike-model,,,,,,,,,,,,,,,,,,,,output/TGS-DIECAST-MOUNTAIN-BIKE/Box_wm.png,3,"1:8 scale die-cast mountain bike model with red frame, black handlebars, and red tires, displayed on a white surface.",,,,
1-8-scale-die-cast-mountain-bike-model,,,,,,,,,,,,,,,,,,,,output/TGS-DIECAST-MOUNTAIN-BIKE/Lifestyle_wm.png,4,"1:8 scale die-cast mountain bike model with red frame, black handlebars, and red tires, displayed on a white surface.",,,,
1-8-scale-die-cast-mountain-bike-model,,,,,,,,,,,,,,,,,,,,output/TGS-DIECAST-MOUNTAIN-BIKE/Hero_titled.png,5,"1:8 scale die-cast mountain bike model with red frame, black handlebars, and red tires, displayed on a white surface.",,,,
1-8-scale-die-cast-mountain-bike-model,,,,,,,,,,,,,,,,,,,,output/TGS-DIECAST-MOUNTAIN-BIKE/FeatureCard.png,6,"1:8 scale die-cast mountain bike model with red frame, black handlebars, and red tires, displayed on a white surface.",,,,
3d-printing-pen,3D Printing Pen with USB Charger and Filament,"<p>A 3D printing pen that draws in the air with plastic filament. The box says it is designed with no hot parts and uses low-heat plastic, so it is safe to touch while you shape your doodles. It has a built-in 3.7V rechargeable battery and charges from any USB port. Ages 3+ on the box, with a choking hazard warning for small parts.</p><ul><li>Draws 3D shapes with plastic filament</li><li>No hot parts, low-heat plastic</li><li>Built-in 3.7V rechargeable battery</li><li>Charges from any USB port</li><li>Ages 3+ as printed on the box</li></ul><p><strong>What's included:</strong></p><ul><li>3D printing pen</li><li>USB charging cable</li><li>Filament</li></ul>",The Toy Gift Shop,,Novelty & Fun Toys,"age:3-5, feature:new, occasion:birthday, occasion:eid, play:games, sub:Novelty Toys",FALSE,Title,Default Title,TGS-3D-PRINTING-PEN,,shopify,9,deny,manual,3800.00,,TRUE,TRUE,output/TGS-3D-PRINTING-PEN/CatalogClean.png,1,A blue and white 3D printing pen with USB charger and filament in packaging.,FALSE,3D Printing Pen in Pakistan | Toy Gift Shop,"3D Printing Pen for kids aged 3+ with USB charger and filament. Child-safe, no hot parts, designed for creative 3D drawing.",draft
3d-printing-pen,,,,,,,,,,,,,,,,,,,,output/TGS-3D-PRINTING-PEN/CatalogHero_wm.png,2,A blue and white 3D printing pen with USB charger and filament in packaging.,,,,
3d-printing-pen,,,,,,,,,,,,,,,,,,,,output/TGS-3D-PRINTING-PEN/Open_wm.png,3,A blue and white 3D printing pen with USB charger and filament in packaging.,,,,
3d-printing-pen,,,,,,,,,,,,,,,,,,,,output/TGS-3D-PRINTING-PEN/Box_wm.png,4,A blue and white 3D printing pen with USB charger and filament in packaging.,,,,
