current_sku,proposed_sku,note
TGS-ABACUS-TOY-TEAL,TGS-ABACUS-TEAL,
TGS-ANIMALTOY-CUTECOW-DANCING,TGS-COW-DANCE,
TGS-ANIMALTOY-ELEPHANT-WALKING-GREY,TGS-ELEPHANT-WALK,photos look like a dinosaur - check folder
TGS-ANIMALTOY-PONY-ELECTRIC-YELLOW,TGS-PONY-YLW,
TGS-ARCADE-CONSOLE-MINI-BLUE,TGS-ARCADE-MINI,
TGS-ARTSET-DELUXE-CASE-PINK,TGS-ART-CASE-120,merged from 3 folders; character name on the case left out of the SKU
TGS-ARTSET-TEAPARTY-PALETTE,TGS-ART-TEAPARTY,
TGS-BATHTOY-DUCK-WATERWHEEL,TGS-BATH-DUCK,
TGS-BIKE-DIECAST-RED-MOUNTAIN,TGS-BIKE-MTB-RED,
TGS-BOOK-TOUCHTEACH-WORDS,TGS-BOOK-WORDS,
TGS-BUSYBOARD-DASHBOARD-CONSTRUCTION,TGS-BUSY-DASH,
TGS-BUSYBOARD-DINOSAUR-TEAL,TGS-BUSY-DINO,
TGS-BUSYBOARD-HOUSE-APPLIANCES,TGS-BUSY-HOUSE,
TGS-CAR-CONCEPT-SILVER,TGS-CAR-CONCEPT-SLV,
TGS-CAR-RACE-GTR-WHITEBLUE,TGS-CAR-RACE-WHTBLU,brand/character name left out until genuine stock is confirmed
TGS-CAR-SEDAN-BLACK-BMW,TGS-CAR-SEDAN-BLK,brand/character name left out until genuine stock is confirmed
TGS-CAR-SEDAN-ROSEGOLD,TGS-CAR-SEDAN-RSG,
TGS-CAR-SPORT-DARKBLUE,TGS-CAR-SPORT-DBLU,
TGS-CAR-SPORT-NAVY,TGS-CAR-SPORT-NVY,
TGS-CAR-SPORT-WHITE,TGS-CAR-SPORT-WHT,
TGS-CAR-SUV-BLACK,TGS-CAR-SUV-BLK,
TGS-CAR-SUV-MAROON,TGS-CAR-SUV-MRN,
TGS-CAR-SUV-SILVER-RANGEROVER,TGS-CAR-SUV-SLV,brand/character name left out until genuine stock is confirmed
TGS-CAR-TRANSFORM-ROBOT-RED-88,TGS-CAR-ROBOT-88,
TGS-CAR-VINTAGE-BLACK,TGS-CAR-VINTAGE-BLK,
TGS-CASE-BRIEFCASE-CHARACTERS-PINK,TGS-CASE-CHARS-PNK,
TGS-CASE-BRIEFCASE-SILVER-SHINING,TGS-CASE-SHINE-SLV,
TGS-CASE-BRIEFCASE-UNICORN-RAINBOW-PINK,TGS-CASE-UNICORN,
TGS-CASE-PRINCESSBAG-MAKEUP-PINK,TGS-MAKEUP-BAG,
TGS-CASE-ROUND-BLUE,TGS-CASE-ROUND-BLU,
TGS-CASE-ROUND-BROWN,TGS-CASE-ROUND-BRN,
TGS-CASE-TREASURECHEST-MAKEUP-PINK,TGS-MAKEUP-CHEST,
TGS-CASE-VANITY-PINK-TRAVELSET,TGS-VANITY-TRAVEL,
TGS-CLEANING-SET-LITTLEHELPER-BOX,TGS-CLEAN-HELPER,
TGS-CLEANING-SET-MOPBUCKET-YELLOW,TGS-CLEAN-MOP,
TGS-DRONE-4AXIS-GTRC-VITASQ,TGS-DRONE-VITA,
TGS-DRONE-FOURAXIS-RED,TGS-DRONE-RED,
TGS-FIGURE-FOOTBALL-STARS-TRIO,TGS-FIG-FOOTBALL-3,
TGS-FIGURE-NARUTO-BOXED,TGS-FIG-ANIME,brand/character name left out until genuine stock is confirmed
